year,Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100
2019/03/13,938820216.776042,1452402370.5598235,1171413841.9407268,250378016.31565335,36905661.17318897
2019/03/14,942703001.6237864,1459160669.8198235,1177187639.578095,251370959.29914,36873906.49164897
2019/03/15,946436574.8704952,1466018571.619373,1184267976.7750971,252617978.00711453,36878465.64247959
2019/03/16,951528330.201084,1475307299.2453315,1194197994.1351988,254436406.32156625,36834564.08792511
2019/03/17,956344361.820459,1484422661.2291985,1202734178.949497,256331682.0227303,36940610.14486963
2019/03/18,960445568.7421564,1493134611.8868318,1210002856.182643,257904679.87648147,37029724.80574542
2019/03/19,963481210.079783,1500716876.720582,1215419196.5969925,258948757.51836783,37063901.74073794
2019/03/20,967550674.660958,1507681849.1539445,1221502715.0759444,260195915.92381895,37046596.210427634
2019/03/21,972599288.6461396,1514759979.4985523,1227425530.4829128,261315510.1568257,36967794.60996856
2019/03/22,976769535.3358672,1521838525.912226,1234174255.1799312,262484932.68804467,36884102.04862117
2019/03/23,983576280.0287726,1532163397.8965447,1243389289.863926,263999784.77902645,36733903.985912
2019/03/24,988844791.9683994,1541970891.5464754,1251467306.007945,265395468.97115028,36676139.93173767
2019/03/25,992714286.1947556,1551052550.9042735,1257873898.158784,266462041.60658756,36624459.87071506
2019/03/26,995206794.9688064,1558718406.5679796,1262229838.501237,266924973.78530923,36526198.77673868
2019/03/27,998947629.9035918,1566420756.8173826,1267834779.577289,267794727.80719087,36426706.81246558
2019/03/28,1001876504.3217864,1572542337.3067188,1272506265.9282162,268420162.37123263,36252579.39383926
2019/03/29,1004742084.6464332,1578722449.3954487,1278412363.0929756,269304350.0191139,36145603.99727534
2019/03/30,1009606839.3785844,1587186783.748417,1286817215.073106,270701979.675023,36034793.411937214
2019/03/31,1012933397.0765998,1594641675.048021,1293074884.8888748,271713028.68297225,36030185.73078172
2019/04/01,1015533739.6879848,1601488907.0569105,1298053450.0384495,272449317.38623667,36017041.95809668
2019/04/02,1016509230.671824,1606507483.031154,1300780651.9257429,272618245.8911289,35998510.90869951
2019/04/03,1019538565.1359552,1612295299.362925,1305257959.4467752,273166299.4791585,35956404.56134052
2019/04/04,1021741055.931116,1616906049.087887,1308753169.1876423,273381714.0331245,35799213.75321117
2019/04/05,1023170376.298478,1621244716.5475535,1313408601.8672445,273868630.4373086,35689173.31778026
2019/04/06,1024907095.4203802,1626530447.539991,1319506441.5460048,274664347.70119506,35626906.75894964
2019/04/07,1027968650.7516304,1633271748.000067,1327438603.7256842,275742946.6121443,35569671.8532814
2019/04/08,1028622458.0953804,1637351949.8752892,1330567242.1343768,276016762.28161323,35616122.135624185
2019/04/09,1027777235.9829216,1639665078.037495,1331203150.498558,275675801.04832685,35605536.25907634
2019/04/10,1027876620.6885424,1642240442.8466952,1332788581.6197,275577404.2799994,35570329.93778499
2019/04/11,1027866006.8410482,1643535203.043084,1333485722.3258717,275268322.4573755,35465473.179489754
2019/04/12,1028099254.9175994,1645519723.6963017,1336254811.1187515,275297795.889911,35395155.95699567
2019/04/13,1029748976.7567776,1649514967.6722867,1341050769.770192,275764223.885294,35305029.450600386
2019/04/14,1029252890.671636,1651316439.9869924,1343037176.0182002,275814746.28123456,35337860.62188546
2019/04/15,1029840305.2630678,1654869476.3288918,1344924581.7269466,275679498.6067991,35372482.355429694
2019/04/16,1029893619.9083738,1657652967.758232,1345074567.7660172,275008385.4774135,35359292.842649296
2019/04/17,1029079290.6851312,1658242569.431909,1345194704.66856,274612009.2530959,35340432.62644127
2019/04/18,1027488510.679125,1657670836.608962,1344522485.104827,273985608.80934584,35234196.68917085
2019/04/19,1026451842.1658762,1658050815.9969156,1345634611.0108128,273531016.7019468,35101490.07930017
2019/04/20,1027952670.9588668,1661326931.8890238,1349644624.2726915,273616978.7129576,34909165.38395881
2019/04/21,1028573607.1407342,1663197135.7508523,1351252160.5329633,273397723.1549513,34939745.87440299
2019/04/22,1028740098.8456416,1664938613.2509353,1351386723.961179,272928686.00795406,34969198.990450524
2019/04/23,1027522224.8422718,1665290128.3279705,1349423565.936259,271863328.30120885,34943322.06749998
2019/04/24,1026835754.2990776,1665031850.1792254,1348394107.3649726,271156605.6129138,34925967.60357785
2019/04/25,1025437525.7570866,1663425825.1668074,1346119188.2232163,270104880.16828114,34824853.40903026
2019/04/26,1023682465.1942888,1661450039.2682786,1345038848.4543648,269238627.6689381,34757780.22988904
2019/04/27,1024535278.5905234,1663099068.2845387,1347222587.4254017,268937778.1000784,34653243.91744714
2019/04/28,1024331813.05504,1664135637.7162125,1348073063.3945482,268630655.96195096,34707643.463583305
2019/04/29,1024415664.0082352,1665172655.7187898,1347675097.8685398,268072592.8993292,34776876.069093354
2019/04/30,1021979318.3976538,1663209882.998584,1344588023.296951,266893949.23522604,34820015.79563494
2019/05/01,1021688167.8641484,1662630654.4152586,1343986813.2762957,266321993.88645145,34865667.61277684
2019/05/02,1020135517.8011827,1659777473.944862,1341651843.1431231,265375729.03836575,34818031.69360435
2019/05/03,1017752314.1953092,1656670124.7984354,1340395273.846574,264579543.1007197,34733273.54676734
2019/05/04,1017740603.5515144,1656832404.7556944,1341594290.0227008,264265181.04963595,34552351.283405095
2019/05/05,1017235855.2098448,1657075829.3885448,1341730295.7856214,263923579.0363648,34559013.35377817
2019/05/06,1017300141.7104372,1657930341.119115,1340771374.0259602,263336009.8961284,34561326.358575724
2019/05/07,1015481966.189198,1656716587.035346,1337330839.92548,262173077.3810907,34566077.70704164
2019/05/08,1014727299.5540287,1655707163.3308318,1335573523.8469622,261483257.82956564,34568054.044106424
2019/05/09,1012935906.845014,1653095792.5782075,1333105269.1980329,260673726.58049437,34499807.42093537
2019/05/10,1011318729.2828896,1651242581.3480942,1332317571.0767214,259995610.05055404,34357317.422671475
2019/05/11,1011383108.0595506,1651655590.549924,1334100183.0619063,259840902.46368363,34159342.19829858
2019/05/12,1011110938.918746,1652427648.4213216,1334957263.0166016,259690958.4333661,34161597.20932104
2019/05/13,1011269008.0428276,1653610340.102247,1334689813.869048,259320290.57350636,34157219.74087807
2019/05/14,1009688355.1699532,1652714496.8364353,1331792123.1097858,258382317.4786154,34193525.54324569
2019/05/15,1011151397.8664652,1654145367.775211,1333760869.635261,258495996.7793649,34234888.298741624
2019/05/16,1009186801.5201172,1651187424.6951382,1331490988.199842,257976028.30982965,34270335.18905007
2019/05/17,1008120761.9106427,1650208251.7632563,1331582945.076302,257571360.5200284,34159994.871367835
2019/05/18,1008650054.586354,1651196172.5161922,1334131997.7485702,257690520.7233118,33980492.999355406
2019/05/19,1007643886.5367414,1651074437.2276478,1334476070.920668,257569183.3109628,33963537.81188034
2019/05/20,1006482963.4576296,1650757001.6340024,1333609956.3801656,257272330.05119225,33962670.14550497
2019/05/21,1004080863.9240166,1648763816.5530353,1330414982.4764636,256456822.5988024,34005965.02042158
2019/05/22,1002714993.6057372,1646356027.9330451,1328541847.7357483,256155349.1296604,34105006.209731765
2019/05/23,1001002837.6842724,1643067012.1888373,1326288198.1812315,255722492.66085345,34133612.60509557
2019/05/24,999669982.064856,1640896141.5739012,1325974575.2865746,255465359.17116368,34095603.1177915
2019/05/25,1000502377.4068028,1641325270.3494294,1328414757.895513,255808569.58349517,33987494.28017766
2019/05/26,999892563.3172224,1640999539.020063,1328922063.533831,255940462.8754214,34041038.20658874
2019/05/27,999106098.3390634,1640548063.8511176,1328283358.0166695,255883036.1102342,34114609.51598375
2019/05/28,996386213.9554188,1637352605.1123447,1324643188.41206,255196150.34604916,34260965.35675228
2019/05/29,995252179.1014895,1635057086.9355896,1323413080.2734027,255181980.32535288,34347176.648701854
2019/05/30,993340803.7187856,1631557340.5673952,1321597649.6593606,254932567.8370002,34398084.037671804
2019/05/31,991996675.2110852,1629682704.0395112,1321980093.0245552,254830906.5269935,34347870.123955205
2019/06/01,993098987.3926296,1630758685.5781264,1325257589.0062768,255345493.41176152,34206167.55660139
2019/06/02,992511742.0054512,1630917905.314577,1326493799.4599593,255635645.98117763,34221984.93085241
2019/06/03,991728212.4367428,1630927536.6567862,1326542011.6166131,255737074.8685382,34261614.65711435
2019/06/04,988938791.7266332,1627935150.0140347,1323479884.9817762,255223622.61449444,34404984.4228113
2019/06/05,988437248.4409552,1626711789.826898,1323257596.1702826,255398234.2659906,34433120.2566908
2019/06/06,987150158.5393184,1624327477.607984,1322486544.147693,255319997.48221907,34435840.00882232
2019/06/07,986021470.368628,1622868422.8555295,1323539162.622777,255421176.6481152,34387989.084662914
2019/06/08,987253731.2341973,1623934074.9457746,1327296426.8244553,256070282.2362264,34308614.188502446
