Date,Location,Value
1-Aug-21,Passenger Rail,-0.33
8-Aug-21,Passenger Rail,-0.34
15-Aug-21,Passenger Rail,-0.36
22-Aug-21,Passenger Rail,-0.38
29-Aug-21,Passenger Rail,-0.36
5-Sep-21,Passenger Rail,-0.4
12-Sep-21,Passenger Rail,-0.29
19-Sep-21,Passenger Rail,-0.37
26-Sep-21,Passenger Rail,-0.36
3-Oct-21,Passenger Rail,-0.38
10-Oct-21,Passenger Rail,-0.29
17-Oct-21,Passenger Rail,-0.31
24-Oct-21,Passenger Rail,-0.28
31-Oct-21,Passenger Rail,-0.28
7-Nov-21,Passenger Rail,-0.31
14-Nov-21,Passenger Rail,-0.3
21-Nov-21,Passenger Rail,-0.447
28-Nov-21,Passenger Rail,-0.345
5-Dec-21,Passenger Rail,-0.243
12-Dec-21,Passenger Rail,-0.295
19-Dec-21,Passenger Rail,-0.3
26-Dec-21,Passenger Rail,-0.301
2-Jan-22,Passenger Rail,-0.153
9-Jan-22,Passenger Rail,-0.424
16-Jan-22,Passenger Rail,-0.494
23-Jan-22,Passenger Rail,-0.48
30-Jan-22,Passenger Rail,-0.438
6-Feb-22,Passenger Rail,-0.432
9-Feb-20,Intercity Bus,-0.01
16-Feb-20,Intercity Bus,-0.02
23-Feb-20,Intercity Bus,-0.02
1-Mar-20,Intercity Bus,-0.06
8-Mar-20,Intercity Bus,-0.12
15-Mar-20,Intercity Bus,-0.33
22-Mar-20,Intercity Bus,-0.61
29-Mar-20,Intercity Bus,-0.79
5-Apr-20,Intercity Bus,-0.83
12-Apr-20,Intercity Bus,-0.86
19-Apr-20,Intercity Bus,-0.85
26-Apr-20,Intercity Bus,-0.83
3-May-20,Intercity Bus,-0.8
10-May-20,Intercity Bus,-0.79
17-May-20,Intercity Bus,-0.77
24-May-20,Intercity Bus,-0.76
31-May-20,Intercity Bus,-0.74
7-Jun-20,Intercity Bus,-0.73
14-Jun-20,Intercity Bus,-0.7
21-Jun-20,Intercity Bus,-0.69
28-Jun-20,Intercity Bus,-0.7
5-Jul-20,Intercity Bus,-0.7
12-Jul-20,Intercity Bus,-0.7
19-Jul-20,Intercity Bus,-0.72
26-Jul-20,Intercity Bus,-0.72
2-Aug-20,Intercity Bus,-0.72
9-Aug-20,Intercity Bus,-0.71
16-Aug-20,Intercity Bus,-0.7
23-Aug-20,Intercity Bus,-0.69
30-Aug-20,Intercity Bus,-0.7
6-Sep-20,Intercity Bus,-0.6
13-Sep-20,Intercity Bus,-0.65
20-Sep-20,Intercity Bus,-0.65
27-Sep-20,Intercity Bus,-0.64
4-Oct-20,Intercity Bus,-0.67
11-Oct-20,Intercity Bus,-0.68
