Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100,date
664619433.7949508,1026880848.4614491,869523722.1021237,220640158.6490396,43373206.03788928,2020/09/02
662584069.4021474,1025389793.1104463,868568340.6439811,220409536.31834826,43074583.06798844,2020/09/03
660885379.6992241,1024292630.3380498,868669698.3616323,220572806.84180155,42816505.34211977,2020/09/04
660732130.5262872,1025685709.6140743,871152511.2234755,221263931.39632973,42468389.71930704,2020/09/05
660119713.8324988,1026457534.5079453,871992168.6917088,221574119.52958962,42248693.27102146,2020/09/06
659308499.4650903,1027086761.5322447,871470487.0054499,221419892.52301812,42011844.92464996,2020/09/07
656809948.6502671,1025491720.78009,868920226.217816,220875673.6099803,41798211.98756599,2020/09/08
655640710.2247344,1025308527.9430908,868536359.4786733,220755545.60659838,41403060.25674829,2020/09/09
653860326.4632146,1023731871.7267665,867657331.5788425,220621054.76593482,40988825.988428295,2020/09/10
652290216.6548759,1022463001.3396375,867646793.2856375,220716855.85606608,40611420.74822082,2020/09/11
650261880.3042052,1020748446.5820038,867564896.1716145,220879669.75773773,40213473.59778349,2020/09/12
648576959.2933257,1018829705.2674704,867733012.3525065,221163035.5980519,39955635.35714198,2020/09/13
647102239.241001,1017741186.9525847,867282531.9912822,221172495.54105785,39665353.34191621,2020/09/14
645339804.8324215,1017127853.8559197,866381181.8398165,221170176.31659174,39487175.052334845,2020/09/15
643538632.0049653,1015671144.1221223,865742722.325967,221209332.4142616,39134218.8799662,2020/09/16
641848909.2676957,1014510646.3687705,865369392.2478778,221201456.7941288,38659558.92518048,2020/09/17
640884193.0202702,1014866926.0729378,865833152.2482358,221345363.29529536,38137095.57175102,2020/09/18
640882605.6564674,1015973563.3049659,866907216.4852129,221802147.45022437,37864556.76336536,2020/09/19
639820422.2637955,1015361217.4245031,866661142.95044,221871518.87569025,37581252.58194044,2020/09/20
638390903.9257666,1014299544.8221943,865182095.9771372,221522235.6023892,37278592.60767024,2020/09/21
636566333.9222628,1013525268.9198413,862835233.6181443,221023015.1729123,36988827.00174948,2020/09/22
636431585.7646188,1014039349.745544,862638108.7399302,220942124.96712962,36546690.56653709,2020/09/23
636908627.4171227,1014677902.4218292,862350285.1968179,220715420.08043316,35982795.21089672,2020/09/24
638523893.6729201,1016226496.8302459,862774575.7703583,220910237.4548997,35462708.43570956,2020/09/25
641021511.7710003,1019285776.8709592,864580025.7934836,221175407.2482227,34872129.62207777,2020/09/26
641941795.1783391,1020649655.633198,865128965.4590639,221502044.31671116,34358824.81477574,2020/09/27
641801585.9594921,1021412264.5869586,864361195.8358756,221433987.5728173,33843979.797018684,2020/09/28
640776280.3711215,1021450279.5636989,862646387.6822633,221187614.95258826,33442362.147363465,2020/09/29
640826265.8731272,1022675850.6511736,862951944.9048184,221212066.0512924,32899342.512654416,2020/09/30
642479804.4218001,1025850066.8225718,864595047.6256213,221144779.6220368,32259187.05921304,2020/10/01
643770109.5344045,1028370716.3126459,865767538.8130175,220937214.11742422,31815873.755038008,2020/10/02
646333484.1748084,1032080287.2005155,868760913.6086882,221593557.88099754,31456730.884831604,2020/10/03
648470774.060176,1036044604.8281869,870787442.6408057,221777693.93957332,31216265.558585424,2020/10/04
649659841.482921,1038817671.7744519,871119731.3823867,221529028.81545419,30940730.383493178,2020/10/05
648880604.675025,1038918973.7125062,869932698.8793793,221229910.67652285,30874822.44617616,2020/10/06
651434138.0504234,1044105400.5038244,872842172.9680771,221664109.68477216,30768623.58533766,2020/10/07
650885428.9654187,1044510896.7548939,872844904.773841,221848453.3027873,30691755.285680514,2020/10/08
652115979.3276275,1046763431.1521333,874478893.0977654,222355975.81277418,30598606.615768872,2020/10/09
653640086.8082582,1049215099.2109767,876716289.3712966,223163547.39477405,30529543.496522985,2020/10/10
655378430.55512,1052875545.4875171,878326363.667365,223474835.57728255,30582797.91049738,2020/10/11
655447238.5998712,1054512632.2219551,877708449.5871084,223314373.19871753,30659345.78503531,2020/10/12
653229781.3735437,1053031846.0220742,874065352.8425595,222424884.32165712,30658200.120340683,2020/10/13
651790903.7248703,1052281893.568793,871812863.1309905,221829090.25145015,30528567.30834882,2020/10/14
650603866.6912439,1051775901.5647472,870125528.7201623,221336830.92621186,30372623.262080137,2020/10/15
649707692.3594515,1051273526.3995148,869296830.9819196,221262280.11590663,30219590.198779643,2020/10/16
650338697.9755092,1053073261.2273704,870372966.2902309,221642688.73532858,30035537.579896413,2020/10/17
651185038.1346006,1055768609.8448117,871000293.7214321,221591278.9602376,29924319.744286645,2020/10/18
651532718.5247211,1057913181.6594248,870293401.0989281,221101087.40847954,29798499.674190342,2020/10/19
650654581.5530933,1058576522.0474801,868180387.8168013,220380196.04602298,29776689.890223604,2020/10/20
650193634.7970089,1058781772.0877422,866826357.7469615,219975801.09728152,29693797.502814956,2020/10/21
650556483.9768666,1059976216.6813879,866046484.3823785,219642495.50901595,29545931.876905788,2020/10/22
651355248.0603333,1061325780.6969514,866591581.4564683,219811991.85843435,29406533.87015658,2020/10/23
654400020.669085,1065415059.5676441,869281804.7247416,220511486.5782907,29325938.7045779,2020/10/24
655851965.7671041,1067796476.9631007,869627364.8561838,220582173.67906877,29400249.531067338,2020/10/25
657227826.5024166,1070189781.7886199,869083951.8069761,220316585.58505747,29395172.401265033,2020/10/26
657391086.9872097,1070752100.5805852,867063170.0218791,219790469.08803013,29391534.949213035,2020/10/27
656608288.6170164,1069692586.8240438,863816575.2341493,219148876.28406337,29529893.47365382,2020/10/28
656610095.1752498,1069762995.16828,862383269.6496882,218672121.30942327,29460406.245444592,2020/10/29
657432156.0888644,1070530126.0968759,862425526.1535637,218737936.85098916,29420687.974063084,2020/10/30
659706861.2323483,1073724688.4448403,864568770.1377348,219433287.3658609,29450067.796899736,2020/10/31
661509599.6382511,1076483886.9149346,865161627.6276892,219373603.92276317,29498755.749891147,2020/11/01
662821309.2056308,1077554489.948978,862880081.1126198,218343688.22012797,29406664.856294036,2020/11/02
661631628.9051058,1075782140.3584285,858825921.5141943,217272543.36097038,29334816.80003695,2020/11/03
663695399.3586257,1077229445.6399963,858950824.74952,217412398.76240757,29366038.979708318,2020/11/04
668706731.5033386,1084542029.8378234,863818841.1113352,218610044.7948893,29536940.29372028,2020/11/05
669304675.8739862,1085268383.143976,864605482.738651,218990048.91818994,29598713.76051744,2020/11/06
669485513.971225,1086853873.0094516,865643287.1287133,219878693.38796985,29559601.019189913,2020/11/07
669466093.7380407,1087930097.9332352,865482730.0070205,220546605.87793627,29775546.837240625,2020/11/08
669448264.856896,1088884832.5255847,864540115.6600318,220919037.2209113,29977259.377740283,2020/11/09
667657458.7401003,1086591126.9568737,860720999.761314,220511663.54757693,30147501.003320295,2020/11/10
665581166.7263079,1083750182.4373999,858324426.6291903,220602684.65584406,30206845.367667407,2020/11/11
666756320.6135634,1085491406.067276,859659602.4933231,221245113.2178614,30231525.92023237,2020/11/12
666734812.0588837,1085562922.14381,859466973.3262503,221276441.32864532,30149780.50627837,2020/11/13
667708961.7688535,1086975056.126562,860796635.7062395,221845772.27366114,30124541.360405527,2020/11/14
667516862.6781863,1087173066.3062103,860949343.6334343,222299023.9032085,30335146.61948287,2020/11/15
667659906.645087,1087848731.9680562,860401374.3441881,222461533.14966705,30514109.523782015,2020/11/16
666533002.3309526,1086148686.9077387,857517203.5021933,222082640.33832195,30740521.645387355,2020/11/17
666047325.4008394,1085480842.9747562,856417429.9375806,221963022.9452768,30795752.65199966,2020/11/18
664502508.3278068,1083653091.0306056,855274173.0801501,221980506.88839346,30757328.183242116,2020/11/19
663028946.7052507,1082261769.1366591,855139565.4924468,222148452.629118,30716126.972297717,2020/11/20
663421885.9660292,1083111438.1462073,856971074.4807574,222718914.44103986,30863373.60398903,2020/11/21
663403980.0062652,1082958326.9223006,856733517.3444884,222694544.05456334,31141967.49837553,2020/11/22
663219517.3935865,1082675937.0203114,855812010.1200341,222438404.48032343,31359044.35503107,2020/11/23
661693722.6722155,1080127577.059916,852667607.5726542,221667859.7165025,31639962.92176732,2020/11/24
660521727.1591003,1078215283.8566558,850807863.0527577,221276065.6991737,31777192.388622727,2020/11/25
658663568.3114223,1075345828.8184884,848477215.9043308,220714974.535902,31795822.60387241,2020/11/26
656392366.0657011,1072865407.7492251,847198118.2398136,220154242.06223917,31823857.787924793,2020/11/27
655289762.3657165,1071317074.6779464,846963878.3803501,219999833.06636384,31791171.668941047,2020/11/28
