Number of Trips <1,Number of Trips 1-5,Number of Trips 5-25,Number of Trips 25-100,Number of Trips >=100,date
873405928.5218164,1311015474.4687364,1044257292.2019974,227763895.74679255,36322389.038284555,2019/02/19
875303349.9806371,1315153208.0289867,1048138463.7322255,228477638.82312307,36351045.38971165,2019/02/20
875541186.7335554,1315668419.4953642,1047916553.736851,228489879.46671075,36401597.917499386,2019/02/21
878030106.8953586,1319876398.1413286,1052934669.7780973,229497810.53355032,36475541.7222177,2019/02/22
881991798.0240622,1326578219.7561505,1060869664.7337416,231087711.20717576,36496568.47689511,2019/02/23
884679272.768984,1333175477.9217489,1067066971.2509024,232219942.61363474,36566966.89737987,2019/02/24
887412254.884702,1340456051.3138902,1072756051.0283087,233212407.9940756,36640394.55454462,2019/02/25
888690728.6826856,1345493535.0611854,1076140298.669426,233783198.92896026,36745408.352193296,2019/02/26
891373215.1604495,1350492234.148904,1080530780.8407743,234659444.0742068,36800234.37259242,2019/02/27
894513512.9496505,1355620666.4187648,1085198798.7630398,235542210.35017598,36798862.165807664,2019/02/28
897481738.15021,1360965404.0732899,1091166447.2341795,236649673.28622574,36826381.72121854,2019/03/01
902078826.3466445,1369166376.985645,1100301390.6426156,238351384.79673105,36785603.04241086,2019/03/02
905472757.2227288,1377459928.3654182,1107719440.699,239562149.536701,36779187.53129081,2019/03/03
908922664.7727244,1386378423.0325267,1114598189.2049692,240637801.69182518,36783301.78764461,2019/03/04
910769043.1024486,1392694797.4196286,1118955916.0648546,241299010.86724058,36846493.415741384,2019/03/05
913903757.0273998,1398935224.5658128,1124367378.8334756,242296531.66098595,36876543.31459631,2019/03/06
917678441.7738158,1405373438.181421,1129989125.5486503,243271933.1661082,36841461.42813875,2019/03/07
921244987.9872329,1411867022.9465318,1136849994.9847274,244493040.0062037,36843783.93852182,2019/03/08
926317550.9227666,1420811801.1977317,1146546096.9223838,246287079.1667778,36800759.878632344,2019/03/09
930107356.8965821,1429692149.4527678,1154399661.4141004,247571402.87532908,36795173.61710231,2019/03/10
933951534.6629164,1439121852.9416707,1161646825.566069,248705414.49974677,36795719.208411925,2019/03/11
936106155.4746898,1445830247.7096617,1166290536.3089135,249423228.39801612,36860114.91436503,2019/03/12
938820216.776042,1452402370.5598235,1171413841.9407268,250378016.31565338,36905661.17318897,2019/03/13
942703001.6237864,1459160669.8198237,1177187639.578095,251370959.29913998,36873906.49164897,2019/03/14
946436574.8704952,1466018571.6193733,1184267976.7750971,252617978.00711453,36878465.64247959,2019/03/15
951528330.201084,1475307299.2453315,1194197994.1351988,254436406.32156622,36834564.08792511,2019/03/16
956344361.820459,1484422661.2291985,1202734178.949497,256331682.0227303,36940610.14486963,2019/03/17
960445568.7421564,1493134611.8868318,1210002856.182643,257904679.87648147,37029724.80574542,2019/03/18
963481210.079783,1500716876.720582,1215419196.5969923,258948757.51836786,37063901.74073794,2019/03/19
967550674.660958,1507681849.1539443,1221502715.0759444,260195915.92381898,37046596.210427634,2019/03/20
972599288.6461396,1514759979.4985523,1227425530.4829128,261315510.1568257,36967794.60996856,2019/03/21
976769535.3358673,1521838525.912226,1234174255.1799312,262484932.68804467,36884102.04862117,2019/03/22
983576280.0287726,1532163397.8965447,1243389289.863926,263999784.77902645,36733903.985912,2019/03/23
988844791.9683994,1541970891.5464754,1251467306.007945,265395468.97115028,36676139.93173767,2019/03/24
992714286.1947557,1551052550.9042735,1257873898.158784,266462041.60658753,36624459.87071506,2019/03/25
995206794.9688064,1558718406.5679796,1262229838.5012367,266924973.78530923,36526198.77673868,2019/03/26
998947629.9035918,1566420756.8173826,1267834779.5772893,267794727.80719092,36426706.81246558,2019/03/27
1001876504.3217865,1572542337.3067188,1272506265.9282162,268420162.37123263,36252579.39383926,2019/03/28
1004742084.6464332,1578722449.3954487,1278412363.0929756,269304350.0191139,36145603.99727534,2019/03/29
1009606839.3785844,1587186783.748417,1286817215.073106,270701979.675023,36034793.411937214,2019/03/30
1012933397.0765998,1594641675.048021,1293074884.8888748,271713028.68297225,36030185.73078172,2019/03/31
1015533739.6879847,1601488907.0569103,1298053450.0384495,272449317.38623667,36017041.95809668,2019/04/01
1016509230.6718239,1606507483.031154,1300780651.9257429,272618245.8911289,35998510.90869951,2019/04/02
1019538565.1359552,1612295299.362925,1305257959.4467752,273166299.4791585,35956404.56134052,2019/04/03
1021741055.9311159,1616906049.087887,1308753169.1876423,273381714.0331245,35799213.75321117,2019/04/04
1023170376.2984779,1621244716.5475535,1313408601.8672445,273868630.4373086,35689173.31778026,2019/04/05
1024907095.4203802,1626530447.539991,1319506441.5460048,274664347.70119506,35626906.75894964,2019/04/06
1027968650.7516303,1633271748.000067,1327438603.7256842,275742946.6121443,35569671.8532814,2019/04/07
1028622458.0953803,1637351949.8752892,1330567242.1343768,276016762.28161323,35616122.135624185,2019/04/08
1027777235.9829217,1639665078.0374947,1331203150.498558,275675801.04832685,35605536.25907634,2019/04/09
1027876620.6885425,1642240442.8466952,1332788581.6197,275577404.2799994,35570329.93778499,2019/04/10
1027866006.8410482,1643535203.043084,1333485722.3258717,275268322.4573755,35465473.179489754,2019/04/11
1028099254.9175994,1645519723.6963015,1336254811.1187515,275297795.889911,35395155.95699567,2019/04/12
1029748976.7567775,1649514967.6722867,1341050769.7701921,275764223.88529396,35305029.450600386,2019/04/13
1029252890.6716359,1651316439.9869924,1343037176.0182002,275814746.28123456,35337860.62188546,2019/04/14
1029840305.2630678,1654869476.3288918,1344924581.7269466,275679498.6067991,35372482.355429694,2019/04/15
1029893619.9083738,1657652967.7582319,1345074567.7660172,275008385.4774135,35359292.842649296,2019/04/16
1029079290.6851313,1658242569.4319093,1345194704.66856,274612009.2530959,35340432.62644127,2019/04/17
1027488510.679125,1657670836.608962,1344522485.104827,273985608.80934584,35234196.68917085,2019/04/18
1026451842.1658762,1658050815.9969156,1345634611.0108128,273531016.7019468,35101490.07930017,2019/04/19
1027952670.9588668,1661326931.8890238,1349644624.2726917,273616978.71295756,34909165.38395881,2019/04/20
1028573607.1407342,1663197135.7508523,1351252160.5329633,273397723.1549513,34939745.87440299,2019/04/21
1028740098.8456417,1664938613.2509353,1351386723.961179,272928686.00795406,34969198.990450524,2019/04/22
1027522224.8422718,1665290128.3279703,1349423565.936259,271863328.30120885,34943322.06749998,2019/04/23
1026835754.2990775,1665031850.1792254,1348394107.3649726,271156605.6129138,34925967.60357785,2019/04/24
1025437525.7570866,1663425825.1668074,1346119188.2232165,270104880.16828114,34824853.40903026,2019/04/25
1023682465.1942887,1661450039.2682786,1345038848.4543648,269238627.6689381,34757780.22988904,2019/04/26
1024535278.5905234,1663099068.2845387,1347222587.4254017,268937778.1000784,34653243.91744714,2019/04/27
1024331813.0550399,1664135637.7162123,1348073063.3945482,268630655.96195096,34707643.463583305,2019/04/28
1024415664.0082352,1665172655.7187898,1347675097.8685398,268072592.89932922,34776876.069093354,2019/04/29
1021979318.3976538,1663209882.998584,1344588023.296951,266893949.23522604,34820015.79563494,2019/04/30
1021688167.8641483,1662630654.4152586,1343986813.2762957,266321993.88645142,34865667.61277684,2019/05/01
1020135517.8011829,1659777473.944862,1341651843.1431231,265375729.03836578,34818031.69360435,2019/05/02
1017752314.1953093,1656670124.7984354,1340395273.846574,264579543.1007197,34733273.54676734,2019/05/03
1017740603.5515144,1656832404.7556944,1341594290.0227008,264265181.04963595,34552351.283405095,2019/05/04
1017235855.2098447,1657075829.3885448,1341730295.7856214,263923579.03636482,34559013.35377817,2019/05/05
1017300141.7104373,1657930341.119115,1340771374.0259602,263336009.89612842,34561326.358575724,2019/05/06
1015481966.189198,1656716587.035346,1337330839.92548,262173077.3810907,34566077.70704164,2019/05/07
1014727299.5540289,1655707163.3308318,1335573523.8469622,261483257.82956564,34568054.044106424,2019/05/08
1012935906.8450141,1653095792.5782077,1333105269.1980329,260673726.58049434,34499807.42093537,2019/05/09
1011318729.2828895,1651242581.3480942,1332317571.0767214,259995610.05055404,34357317.422671475,2019/05/10
1011383108.0595506,1651655590.549924,1334100183.0619063,259840902.46368363,34159342.19829858,2019/05/11
1011110938.9187461,1652427648.4213216,1334957263.0166016,259690958.4333661,34161597.20932104,2019/05/12
1011269008.0428275,1653610340.102247,1334689813.8690479,259320290.57350633,34157219.74087807,2019/05/13
1009688355.1699531,1652714496.8364353,1331792123.1097858,258382317.4786154,34193525.54324569,2019/05/14
1011151397.8664653,1654145367.775211,1333760869.635261,258495996.7793649,34234888.298741624,2019/05/15
1009186801.5201172,1651187424.6951382,1331490988.199842,257976028.30982965,34270335.18905007,2019/05/16
1008120761.9106429,1650208251.7632565,1331582945.076302,257571360.5200284,34159994.871367835,2019/05/17
1008650054.5863539,1651196172.5161922,1334131997.7485702,257690520.7233118,33980492.999355406,2019/05/18
1007643886.5367414,1651074437.2276478,1334476070.920668,257569183.31096277,33963537.81188034,2019/05/19
1006482963.4576296,1650757001.6340024,1333609956.3801656,257272330.05119225,33962670.14550497,2019/05/20
1004080863.9240166,1648763816.5530353,1330414982.4764636,256456822.5988024,34005965.02042158,2019/05/21
1002714993.6057372,1646356027.9330451,1328541847.7357483,256155349.1296604,34105006.209731765,2019/05/22
1001002837.6842723,1643067012.1888373,1326288198.1812317,255722492.66085342,34133612.60509557,2019/05/23
999669982.064856,1640896141.5739012,1325974575.2865746,255465359.17116368,34095603.1177915,2019/05/24
1000502377.4068029,1641325270.3494294,1328414757.895513,255808569.58349514,33987494.28017766,2019/05/25
999892563.3172224,1640999539.020063,1328922063.533831,255940462.8754214,34041038.20658874,2019/05/26
999106098.3390634,1640548063.8511176,1328283358.0166695,255883036.1102342,34114609.51598375,2019/05/27
996386213.9554187,1637352605.1123447,1324643188.41206,255196150.34604913,34260965.35675228,2019/05/28
995252179.1014895,1635057086.9355896,1323413080.2734027,255181980.32535288,34347176.648701854,2019/05/29
993340803.7187855,1631557340.5673952,1321597649.6593606,254932567.8370002,34398084.037671804,2019/05/30
991996675.2110852,1629682704.0395112,1321980093.0245552,254830906.5269935,34347870.123955205,2019/05/31
993098987.3926295,1630758685.5781264,1325257589.0062768,255345493.41176152,34206167.55660139,2019/06/01
992511742.0054511,1630917905.3145773,1326493799.4599593,255635645.98117763,34221984.93085241,2019/06/02
991728212.4367428,1630927536.6567862,1326542011.6166131,255737074.8685382,34261614.65711435,2019/06/03
988938791.7266333,1627935150.0140347,1323479884.9817762,255223622.61449444,34404984.4228113,2019/06/04
988437248.4409552,1626711789.826898,1323257596.1702826,255398234.2659906,34433120.2566908,2019/06/05
987150158.5393184,1624327477.607984,1322486544.147693,255319997.48221907,34435840.00882232,2019/06/06
986021470.368628,1622868422.8555295,1323539162.622777,255421176.64811522,34387989.084662914,2019/06/07
987253731.2341971,1623934074.9457746,1327296426.8244553,256070282.23622638,34308614.188502446,2019/06/08
986919465.8634996,1624623431.6382816,1329041582.1593406,256527603.61666435,34359957.32831641,2019/06/09
986594784.0094249,1625438458.8590565,1329793412.6597562,256857958.35149023,34417703.370678894,2019/06/10
984689727.4511218,1623545013.9075775,1327457431.2763472,256603096.2230571,34526403.1598947,2019/06/11
984168844.2789364,1622003887.332778,1327191509.6698787,256892976.8398285,34607687.30495192,2019/06/12
983478262.5828935,1619665300.5763972,1326720523.9639401,257073501.07916495,34639941.47391832,2019/06/13
982964855.3882058,1618545685.453041,1328193245.5960739,257398925.9663012,34599812.88027837,2019/06/14
985104545.5560535,1621184903.8138838,1333005910.4421234,258409080.75948432,34458775.0039461,2019/06/15
985653379.2900606,1622822266.8255002,1335910333.4428043,259187808.21065068,34496545.9288716,2019/06/16
985877562.9022821,1624247272.2653964,1337487625.57794,259718746.6978207,34580297.35190516,2019/06/17
983390088.3815527,1621650299.1750796,1335431304.8365226,259557935.30946833,34836541.25198931,2019/06/18
984609614.3366909,1622391320.3002875,1337236900.0812185,260357128.25677073,34893526.987805605,2019/06/19
984143305.731277,1621419759.9497097,1337935802.553084,260719569.68973142,34963545.22854909,2019/06/20
984122891.0951058,1621643434.2211497,1340568345.680186,261257113.68070132,34955894.022821724,2019/06/21
986374558.4286339,1624533932.603475,1345953605.46867,262401680.1160418,34868364.86113759,2019/06/22
987248467.5416199,1626721384.269757,1349345581.2907958,263330878.06777763,34939571.62166412,2019/06/23
987898762.866905,1628689255.8984358,1351480372.2835364,264082188.6610563,35028856.96213409,2019/06/24
986682036.8194505,1627691253.3682394,1350406549.0908558,264219996.54009467,35215806.254462324,2019/06/25
985957938.7547607,1627575532.8070962,1351037034.4815705,264356171.91404274,35206820.272568986,2019/06/26
985172429.5410347,1627210210.8202155,1351564264.360705,264309370.03906205,35161521.267069414,2019/06/27
983948090.7365874,1626373029.657224,1353091668.9806335,264423391.6772375,35138005.63457705,2019/06/28
985782160.7728206,1628923327.3398385,1357463291.8434029,265122129.45169064,35011575.939794965,2019/06/29
985427653.7181921,1630567700.324659,1359909438.6655204,265616971.4521974,35036122.52645849,2019/06/30
985065204.2639294,1631917629.6222014,1361001822.6122139,265901151.35057747,35100734.21774217,2019/07/01
981413839.2909937,1629085334.1749992,1359053671.7121387,265677086.40811345,35257438.915839136,2019/07/02
980094517.921377,1628288556.0553286,1359111251.1664157,265707160.15561336,35247841.2005851,2019/07/03
978974149.812982,1627375568.2532668,1359303720.244695,265515469.9670431,35204501.11978673,2019/07/04
977847906.2079644,1626316503.6984472,1360745698.1577961,265548575.5935349,35189738.58406713,2019/07/05
978365551.2599887,1627532691.4155278,1364682042.1411576,266118196.32821798,35099523.698733956,2019/07/06
978724859.9439788,1629267038.170767,1367407925.3403075,266549221.4019234,35171997.55315531,2019/07/07
978770394.3745072,1630419524.1473763,1368778651.7757788,266755471.3465984,35269207.472327806,2019/07/08
975782996.6436545,1627910370.9856021,1366719829.8875067,266290094.12189052,35468096.04635217,2019/07/09
975156231.4366747,1627834841.2327511,1367569559.9521763,266332584.65915683,35469027.66312938,2019/07/10
974137795.0861408,1627331313.5671773,1368095845.8401542,266064606.04663253,35448938.62678789,2019/07/11
973157308.2267209,1626832689.1267564,1369903329.9339762,266021242.65410298,35428908.064971514,2019/07/12
971572960.8416457,1624581992.731381,1371576961.3065517,266105520.55214232,35386408.623286575,2019/07/13
971517089.3215687,1625082482.1872752,1375875566.580543,266582101.81812322,35378529.77229371,2019/07/14
971960723.984233,1627065525.0838985,1377148313.8978784,266725826.66024625,35530763.209985025,2019/07/15
971081889.0835836,1627117938.0411427,1376477806.5776386,266470885.28634483,35721215.77299568,2019/07/16
969527556.9236068,1626347948.15733,1374122805.5693948,266043297.15985456,35842134.12445314,2019/07/17
969332060.6744186,1627109270.675942,1374610425.0811007,265812709.1697119,35839620.04959421,2019/07/18
969111905.5521432,1627780557.3580236,1376479534.7858624,265775017.49190915,35829404.20484663,2019/07/19
969879217.0442418,1629113724.925669,1379773399.0698185,266102481.6631476,35757670.61093869,2019/07/20
971688649.082433,1633274383.3864446,1383313078.8976276,266536742.88851085,35822917.84384354,2019/07/21
972278839.9321731,1636307540.1479087,1384402631.1096349,266616163.9731805,35950655.31389732,2019/07/22
971035339.0502192,1636640728.1232567,1382934287.6630359,266174805.2417365,36175008.583944686,2019/07/23
972625578.5237157,1640129241.511519,1384751750.2651262,266240920.5844873,36214679.8782712,2019/07/24
972408126.5597717,1641059328.2189019,1385115294.1458447,265964911.98165706,36202484.2169206,2019/07/25
971145347.2477202,1640770387.2952554,1386090339.873607,265841302.37712586,36195991.34030285,2019/07/26
973220563.8451759,1643669919.5803123,1390119742.2237823,266240376.24299783,36140320.94104449,2019/07/27
975647556.871223,1648182782.9287138,1393525971.8152575,266661883.67316794,36242889.60444867,2019/07/28
977550781.7288337,1652523643.2426434,1395460481.0604343,266865856.63532916,36366491.87197929,2019/07/29
976420803.0245236,1653260673.4876924,1393920624.593072,266440326.08641702,36595406.73682304,2019/07/30
976642329.2094585,1655466718.297412,1394609694.753352,266413211.91836542,36642006.76012924,2019/07/31
976448249.5602083,1656634449.3728297,1395053733.3846297,266137537.55302492,36625520.30734319,2019/08/01
976210090.081949,1657256794.2379155,1396587842.5681374,266118181.6232436,36625588.52687776,2019/08/02
978354544.8978612,1660144214.0683074,1400642804.5476184,266593756.53133532,36559684.91292608,2019/08/03
980352420.318503,1664271650.0967114,1404040749.7101588,267111663.93606997,36654646.64313793,2019/08/04
982273141.8855942,1668497415.4465048,1406053017.390029,267439236.88196254,36738036.45609981,2019/08/05
980812105.069883,1667910392.9085891,1404387129.3843317,267260399.7324049,36891257.392685674,2019/08/06
981544427.051686,1669442924.1581326,1404925247.8750029,267275876.78781435,36907038.85398325,2019/08/07
981235493.1670372,1669682720.7059958,1404845275.6178427,267043757.12971455,36831500.41309938,2019/08/08
982145540.2296705,1671076503.753144,1406327246.110678,267068797.14120603,36728515.91304259,2019/08/09
984303031.3510226,1674058287.7903185,1409928619.937173,267568726.8438616,36569618.51850897,2019/08/10
986248909.5013986,1678211137.7193158,1412482454.0091424,267983309.39621097,36576801.92035692,2019/08/11
988912153.2527956,1682797192.564791,1413836867.1790462,268188868.85849312,36583288.14321222,2019/08/12
988859393.1405437,1683379565.3923433,1412507744.8685825,268003642.57542494,36703726.90282701,2019/08/13
990223156.953552,1685264534.28636,1413073403.2825744,267995544.3829922,36685508.001233935,2019/08/14
990334927.7464292,1685298391.7270021,1412924089.5456188,267800341.14928627,36590041.32945803,2019/08/15
991059740.9279473,1685333757.6108701,1414017485.0679798,267845500.8392126,36485369.01651509,2019/08/16
993359549.0444318,1687239987.380371,1417645504.0137143,268434590.14014268,36325288.33020085,2019/08/17
995169030.3516505,1689745547.7365909,1419749210.8332596,268806304.7327805,36358235.63550322,2019/08/18
997412881.6964692,1692495444.7453027,1420721112.9553568,269014579.66098297,36371550.75613567,2019/08/19
997697590.7850596,1692366401.8356473,1419048180.3632607,268815697.11489636,36445664.90246582,2019/08/20
998971194.0743203,1693004544.528212,1419004147.7843773,268729890.37776047,36392634.71494417,2019/08/21
999178787.9921706,1692023868.9505847,1418326914.4947007,268504711.55799115,36263461.60575948,2019/08/22
999833270.2121854,1690720425.5753405,1418786434.1181304,268522697.8104883,36118601.73502873,2019/08/23
1000252422.0936415,1689194614.7764072,1418669358.3374004,268608125.5869018,35961127.45182083,2019/08/24
999197268.4055214,1688008870.9960294,1418792328.6143515,268359105.48413718,35603881.73206054,2019/08/25
1002174155.0276434,1689694359.032479,1419380785.3107674,268559146.2666562,35576191.66892898,2019/08/26
1003124657.1752962,1688996150.7797222,1417628570.56914,268367168.58268106,35606245.65570435,2019/08/27
1005101584.8492156,1688863931.9706025,1417563598.8810253,268286214.03559238,35512005.73049631,2019/08/28
1006584030.1616573,1687658468.951395,1416977874.892887,268045919.21494627,35319614.31070774,2019/08/29
1008133458.7947934,1685868805.4037557,1417403230.4602287,268039290.24023035,35120053.26801322,2019/08/30
1011796383.0964919,1686965011.6109343,1420800289.588543,268628943.57623184,34856730.42790884,2019/08/31
1014949947.4771626,1688084079.1586897,1422446965.1173265,268892562.71972764,34743186.217110105,2019/09/01
1018187322.4963293,1689132810.814893,1422808899.025316,268980363.7629757,34611773.416283436,2019/09/02
1019050971.474829,1687256387.6761687,1420729792.2349734,268637070.69757795,34538951.911717445,2019/09/03
1020941329.1233772,1685988815.3367445,1420198312.6882167,268414697.98004597,34370211.64579476,2019/09/04
1022334543.4625274,1683884857.5060432,1419340125.0954566,268060428.67189488,34097780.454640724,2019/09/05
1024356146.3418512,1681993652.4597368,1419762280.388988,267969087.97918385,33771385.6552181,2019/09/06
1027068618.9324088,1681317049.5926359,1421985957.07633,268216812.63019946,33431668.502520353,2019/09/07
1029653547.3691154,1680933639.039599,1422664449.3107524,268324990.06674013,33279832.159763753,2019/09/08
1032712393.9873748,1680872150.3020873,1422275411.253275,268306163.99500963,33123223.922288567,2019/09/09
1031796632.6207703,1676164717.8926048,1419937749.6065764,268214258.20136043,33015734.8026407,2019/09/10
1032469864.3329659,1672538693.236521,1418188267.9125056,267848075.97854003,32811921.3864321,2019/09/11
1032943807.1702095,1668086240.75253,1415828607.0912592,267184510.95987424,32500404.499208465,2019/09/12
1034572649.903917,1664824103.631362,1415124324.4161189,266800262.48228773,32135523.941947922,2019/09/13
1036286523.4229333,1662587848.5444202,1416156245.138271,266721356.3811397,31801795.710584044,2019/09/14
1038085798.6819118,1660961102.5416327,1415884309.6353393,266503407.09231573,31571049.39088899,2019/09/15
1040535327.9156,1660119173.4631217,1414745260.8805428,266155641.0007512,31338818.51324592,2019/09/16
1041105179.0276564,1657356071.427846,1411298894.6431143,265413228.04645208,31145413.201785672,2019/09/17
1042596386.1721371,1654477083.957714,1409658734.075163,264818350.27831697,30842348.881962456,2019/09/18
1043317191.1072023,1650431799.9649296,1407425838.7161179,264059936.28939784,30444258.601649996,2019/09/19
1044326330.3369031,1646238564.367148,1406323906.9677153,263554396.81574956,30081347.331844423,2019/09/20
1045536298.5490702,1643467422.1390905,1407050892.5630212,263457442.34316447,29683085.154727735,2019/09/21
1047229300.8496739,1642172272.7515776,1407471133.9380527,263284005.33521515,29419111.54873997,2019/09/22
1048919334.5232966,1640452276.77939,1406024326.8106046,262886296.22929,29186592.127931897,2019/09/23
1047579427.1600654,1634775253.9600494,1401080558.7512398,261803872.94274104,29078967.403289545,2019/09/24
1047350357.4274911,1629947442.5332732,1397905465.157548,260940902.3891887,28840343.50283544,2019/09/25
1046691049.573087,1624588170.8114393,1394777542.3171344,260128821.30582705,28522616.775052987,2019/09/26
1046846018.8712035,1619736063.3727496,1393007335.3699198,259638120.5550734,28071622.424463615,2019/09/27
1047035197.6657848,1615360518.9339485,1392472194.0725787,259288775.10837248,27728621.409060176,2019/09/28
1047533356.8311188,1611554217.6062667,1390698851.5548434,258885492.16870186,27499378.438853472,2019/09/29
1047330861.1475749,1606963302.4295008,1387338506.3434453,258285588.97891393,27252896.334542096,2019/09/30
1045944083.5373664,1601188135.0873187,1382116759.7479384,257248597.8997266,27104392.35136418,2019/10/01
1045533470.989867,1596286601.9263916,1379129704.4369767,256475710.22229972,26828876.736981414,2019/10/02
1044611844.1206102,1590711087.7071817,1375700363.662792,255583383.91670322,26462649.296205338,2019/10/03
1043989418.0323607,1585105231.079042,1373780639.8947823,254991217.13234332,26064825.172231816,2019/10/04
1044005824.7234374,1580542933.8830962,1373584942.480968,254892472.5460702,25691280.023818962,2019/10/05
1044001623.1141002,1576808426.899633,1371955433.1345384,254472138.6328371,25426705.406980608,2019/10/06
1043898538.9618332,1572841382.0176003,1368898350.6911933,253846185.89670336,25137601.38429488,2019/10/07
1041080253.5258639,1565410744.56005,1363164251.5982518,252716775.3813568,24877784.578938644,2019/10/08
1041838551.4423418,1562783846.492864,1362504085.7994616,251874476.2494864,24566648.148054812,2019/10/09
1039532311.2565796,1555953705.8166208,1358877780.2836342,251077847.05803826,24233509.42517479,2019/10/10
1038766613.5123336,1550719229.1996891,1357028936.3842,250601814.72196105,23816751.63320341,2019/10/11
1037669860.0247848,1545680502.4388402,1356216940.2411876,250235258.2682079,23400689.205718957,2019/10/12
1036205019.719614,1540651490.6567585,1353618730.61511,249810927.2218635,23236430.488131683,2019/10/13
1034722842.0031714,1535661174.7956264,1349430134.9899445,249144570.63522923,23097580.113612693,2019/10/14
1031240817.2118675,1528525577.9887242,1342911105.522437,248004697.57665065,23077361.673101652,2019/10/15
1029091900.058089,1522103649.3724957,1338324298.755208,247104698.22031412,22947601.890387475,2019/10/16
1026698109.2625324,1515032171.5056536,1333379643.9257894,246170258.7484108,22744553.991911244,2019/10/17
1025581321.33964,1509344632.9807742,1330323555.6728902,245602702.3106263,22505250.96796713,2019/10/18
1023116689.6968596,1502952899.4683292,1328020006.278098,245177856.23304665,22315831.53880773,2019/10/19
1021144387.4302583,1497727971.9077573,1325357518.2353773,244841715.6649268,22226377.674191177,2019/10/20
1020150998.5002992,1493661926.7771313,1321505272.8895857,244245518.10271433,22144459.820069853,2019/10/21
1018644642.1548283,1490691701.9161296,1317301373.8951323,243548495.3774574,22110988.51082049,2019/10/22
1016251770.9384341,1486383853.6543818,1310908765.2516153,242579432.36722153,22149134.044795237,2019/10/23
1013608967.2464485,1480359805.776946,1306187184.7443435,241680281.64425427,21997616.74221936,2019/10/24
1012082457.1590291,1475420184.002974,1303206818.2564075,241160774.78979796,21812597.232229553,2019/10/25
1010830999.4399275,1471443060.6228015,1302064768.8855648,241071145.46650836,21695658.986947753,2019/10/26
1009058419.1035389,1468161084.05329,1300061510.0367718,240860101.02136293,21690464.880847823,2019/10/27
1007440785.8349566,1465269833.9716206,1297038495.606354,240533362.57545424,21693220.738441344,2019/10/28
1004188061.4372776,1461348061.6551828,1292064601.5658884,239833142.70115522,21813165.38467975,2019/10/29
1000065812.3833019,1455740023.5026226,1287960625.6798217,239224166.80850783,21820592.669591736,2019/10/30
996483153.1571028,1449658029.4154134,1283362774.9508104,238389132.40439948,21701372.26465028,2019/10/31
994238969.0143876,1445489612.9084532,1281199500.3418984,237985644.12417737,21529736.294915464,2019/11/01
992147885.5783306,1441926276.143377,1280247250.4512317,237924490.23133472,21433611.370607514,2019/11/02
989671579.405106,1438609611.4302967,1278683332.8131614,237758443.33985233,21384876.232220855,2019/11/03
988586296.2446163,1437094725.8264792,1277870447.609619,237817256.84133065,21350194.090956256,2019/11/04
988671022.3503401,1440167354.4968476,1279009373.1818168,237573580.43188292,21365965.537537802,2019/11/05
987901231.4953597,1438980603.3252833,1278656241.8431354,237405105.7596206,21325263.68114731,2019/11/06
987410305.9628505,1437695542.7312064,1277843402.8578775,237148914.87495154,21251452.67026759,2019/11/07
987144408.5654913,1436944318.1453326,1278554594.711495,237241289.59544307,21156365.891625658,2019/11/08
988070157.6927823,1438244987.4063377,1281725108.9074814,237854579.97304383,21103311.618924614,2019/11/09
988851019.5936939,1438144810.675124,1283911365.1434793,238775393.63672173,21311235.012610555,2019/11/10
985561640.4046402,1432875585.7174902,1279854890.7473965,238563373.47648534,21491955.59047706,2019/11/11
984378741.6761994,1435406399.581005,1283295443.2216241,239172533.696017,21596915.885161858,2019/11/12
981070027.3033848,1433951452.062437,1283982615.8094764,239036147.82774183,21637237.151862312,2019/11/13
978043038.5023868,1432118058.869058,1284425022.319125,238867773.06925434,21615193.758048173,2019/11/14
976589533.2527769,1432103564.4903762,1286581358.5463233,239050337.74900287,21577184.69671389,2019/11/15
975725135.444557,1433041315.222936,1290274155.052287,239838408.8638676,21572792.585420232,2019/11/16
973408225.0598546,1433434119.850575,1291917086.4472804,240057165.82599106,21722157.45257101,2019/11/17
970750239.2864271,1433714428.0132875,1292185740.2501495,240111579.67980063,21892997.81997667,2019/11/18
965938920.4360728,1431507809.40979,1289372519.6667805,239654787.02187863,22127399.81503925,2019/11/19
962130231.4712903,1429156254.0508094,1288034280.1764238,239393332.5758273,22231070.808345366,2019/11/20
958236878.8222125,1425971918.6284375,1286522110.6908123,239182520.43641526,22278690.855147135,2019/11/21
956191159.2367986,1424829369.9225717,1287133671.6044676,239436512.69952404,22351319.623011287,2019/11/22
954827662.3869274,1424793871.608382,1289155026.1788998,240198143.70405063,22409818.45719956,2019/11/23
952278759.3960391,1424869950.5288568,1289585218.0533533,240393521.2253775,22595881.889370903,2019/11/24
949400432.1549754,1424675195.611254,1288365170.702851,240323476.68925014,22779812.36512817,2019/11/25
944720065.8094814,1422071407.2734556,1284358217.5845962,239792340.9905706,23017580.561464284,2019/11/26
941644612.8078536,1419962492.611505,1282301709.6418934,239530491.43047288,23053841.203796476,2019/11/27
938242240.3720561,1416986108.7262745,1280037271.0520318,239298478.07133406,23048875.507138465,2019/11/28
936572750.7295113,1415637476.1335406,1279650748.7867672,239509364.78235567,23089226.24440248,2019/11/29
935928753.9505607,1415878203.4028246,1280828010.344619,240222172.58527958,23105231.35206081,2019/11/30
